ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1128333194,Dave Becomes an Author,Nonfiction,Publishing,USD,2015-06-19,10000.0,2015-05-20 03:50:54,0.0,failed,0,US,0.0,0.0,10000.0
1685971104,Hollywood Hamilton: El Azteca Spring 2014 Mens Collection,Fashion,Fashion,USD,2014-03-06,2700.0,2014-02-04 17:47:24,2902.0,successful,44,US,2902.0,2902.0,2700.0
589803610,"Dahlia Vintage Clothes. Beautiful, affordable vintage.",Apparel,Fashion,USD,2015-08-13,2000.0,2015-07-11 02:39:47,10.0,failed,1,US,10.0,10.0,2000.0
1646360006,Boston College Acoustics - EP,Music,Music,USD,2015-03-22,6500.0,2015-02-11 03:00:10,7070.0,undefined,0,"N,0""",,7070.0,6500.0
732708644,TORQ Bottle Opener,Product Design,Design,USD,2012-03-26,5000.0,2012-02-19 09:39:26,6247.0,successful,133,US,6247.0,6247.0,5000.0
1671557247,Print-Products / Handgemachte Papierprodukte (Illustrations),Printing,Crafts,CHF,2016-05-15,3300.0,2016-04-16 08:53:18,3351.0,successful,33,CH,3464.58,3379.93,3328.49
1454975423,NY Gallery Acceptance,Art,Art,USD,2014-08-11,200.0,2014-07-12 03:52:42,5.0,failed,1,US,5.0,5.0,200.0
760929358,Knotes,Apps,Technology,DKK,2017-09-12,2000.0,2017-08-13 12:45:40,2025.0,successful,18,DK,76.61,325.57,321.55
2138606235,Liberty Candle - Kim Jong-un,Product Design,Design,GBP,2016-07-04,10000.0,2016-05-23 19:40:04,89.0,failed,4,GB,129.08,115.58,12986.34
758805744,Illustration Portfolio,Illustration,Art,EUR,2017-03-09,1500.0,2017-02-07 16:01:08,31.0,failed,1,AT,0.0,32.88,1590.9
969534108,The Courage Club: A Radical Guide to Living Beyond Cancer,Nonfiction,Publishing,USD,2016-06-29,20000.0,2016-05-31 12:51:23,54520.5,successful,737,US,54520.5,54520.5,20000.0
958923952,NEW - Breakfast Dressing,Food,Food,USD,2017-02-18,25000.0,2017-01-20 03:54:36,0.0,canceled,0,US,0.0,0.0,25000.0
1038517825,Adventures of Boo and Piglet,Anthologies,Publishing,USD,2014-11-15,9234.0,2014-10-16 20:50:07,1160.0,failed,13,US,1160.0,1160.0,9234.0
463922897,"Pegasus Garden *sustainability for the earth, mind, spirit*",Product Design,Design,USD,2013-11-19,36000.0,2013-10-20 19:58:42,40345.0,successful,382,US,40345.0,40345.0,36000.0
343011678,Automatic Android App Creator (Canceled),Software,Technology,USD,2014-11-24,1600.0,2014-10-10 20:22:48,0.0,canceled,0,US,0.0,0.0,1600.0
1383008259,Wilderun 2nd Full-Length Album,Metal,Music,USD,2014-12-31,5000.0,2014-12-01 03:01:10,7993.0,successful,119,US,7993.0,7993.0,5000.0
275725698,The Real Bigfoot: The Final Hunt,Documentary,Film & Video,USD,2016-08-13,50000.0,2016-07-14 04:00:35,1.0,failed,1,US,0.0,1.0,50000.0
806999149,KIXTIX,Food,Food,USD,2011-09-14,500.0,2011-08-15 23:01:20,759.0,successful,69,US,759.0,759.0,500.0
1956529185,The UpCycle Cage - Leather Bicycle Accessories,Product Design,Design,USD,2015-07-16,3500.0,2015-06-15 18:18:43,3630.0,successful,40,US,3630.0,3630.0,3500.0
1332294999,The Hero Code: Volume 1,Graphic Novels,Comics,USD,2016-11-03,3000.0,2016-10-04 06:43:12,3122.0,successful,147,US,225.0,3122.0,3000.0
1363130329,The Art of Running: The Steve Prefontaine Story,Comics,Comics,GBP,2013-09-11,5000.0,2013-08-12 20:55:02,5261.5,successful,47,GB,8158.54,8328.58,7914.65
995781842,Celebration Garlands by Stitch People (A New DIY Book!!),DIY,Crafts,USD,2015-03-09,9500.0,2015-02-16 18:02:31,2858.0,failed,63,US,2858.0,2858.0,9500.0
854059884,Palm Springs cocktail history book,Nonfiction,Publishing,USD,2017-02-21,500.0,2016-12-24 17:22:10,695.0,successful,16,US,0.0,695.0,500.0
298523251,"""Silhouettes"" - A new short film by award-winning director",Shorts,Film & Video,USD,2012-07-04,8500.0,2012-05-20 20:24:13,10005.0,successful,265,US,10005.0,10005.0,8500.0
1534595311,Identiwire,Product Design,Design,USD,2014-04-02,20000.0,2014-03-03 19:27:37,1225.0,failed,13,US,1225.0,1225.0,20000.0
2037035715,Graveyards at Night: Spooky Photos for the Halloween Season,Photography,Photography,USD,2013-11-21,500.0,2013-10-22 03:50:26,161.0,failed,6,US,161.0,161.0,500.0
759080792,"Dusk Stories Book 2!  More stories, more action!",Fiction,Publishing,USD,2012-11-02,200.0,2012-09-28 01:39:14,1.0,failed,1,US,1.0,1.0,200.0
253603992,FrogFlip from Sprocket Games,Tabletop Games,Games,GBP,2013-08-04,1000.0,2013-07-12 15:58:59,1655.0,successful,93,GB,2491.69,2569.48,1552.55
